501-01,,,,36,50,81-99,ND,6909,25,79,107,-27,4,23,37,83,113
501-02,,,,83,?,40-52,ND,118,1,27,104,-10,72,84,84,100,113
501-03,,,,36,50,81-99,ND,6609,34,78,106,-30,4,24,37,83,113
501-04,,,,84,?,39-51,ND,124,1,33,92,10,66,85,85,100,113
501-05,,,,36,50,81-99,ND,6553,22,77,106,-41,5,26,40,83,113
501-06,,85,86,85,86,45-50,ND,98,,26,93,-1,74,86,86,100,113
501-07,,,,36,50,81-99,ND,6263,25,77,106,-30,5,28,40,82,113
501-08,,,,87,?,36-48,ND,85,,24,100,-13,76,87,87,100,111
501-09,,,,36,50,81-99,ND,6071,22,77,107,-28,9,27,19,86,113
501-10,,,,36,50,81-99,ND,6259,20,76,105,-32,10,29,42,87,113
501-11,,,,87,?,36-48,ND,83,1,23,88,9,77,87,88,101,113
501-12,,,,36,50,81-99,ND,6155,22,76,107,-34,11,28,42,88,113
501-13,,,,88,?,23-31,ND,68,,26,93,-4,73,89,88,100,113
501-14,,,,36,50,81-99,ND,5930,20,75,104,-28,15,32,43,90,113
501-15,,,,89,92,27-30,ND,72,,19,82,8,81,89,89,101,112
501-16,,,,36,50,81-99,ND,6131,21,75,105,-33,14,30,45,90,113
501-17,,,,89,92,27-30,ND,67,,21,95,-3,78,91,91,99,112
501-18,,,,36,50,81-99,ND,5929,24,74,105,-34,16,41,43,91,113
501-19,,,,89,92,27-30,ND,69,,31,90,12,68,93,77,99,112
501-20,,,,36,50,81-99,ND,4953,19,74,107,-30,16,38,51,90,113
501-21,,,,94,96,23-25,ND,48,,22,86,11,78,94,94,100,113
501-22,,,,36,50,81-99,ND,5001,22,73,107,-30,16,36,46,90,113
501-23,,,,96,98,21-23,ND,42,,20,92,18,80,96,96,100,111
501-24,,,,36,50,81-99,ND,5084,25,72,106,-27,18,37,48,91,113
501-25,,,,98,?,13-21,ND,42,,13,85,17,87,99,97,100,113
501-26,,,,36,50,81-99,ND,4386,23,71,108,-30,19,39,47,91,113
501-27,,,,100,?,11-19,ND,46,,16,99,1,86,101,99,102,113
501-28,,,,36,50,81-99,ND,4099,23,71,111,-27,20,40,53,92,113
501-29,,,,102,104,15-17,ND,24,,5,64,39,98,103,102,104,112
501-30,,,,51,?,72-84,ND,4441,21,74,109,-31,13,40,44,88,113
501-31,,,,104,106,13-15,ND,26,,1,19,92,104,105,104,105,111
501-32,,,,52,?,71-83,ND,4121,21,72,105,-45,16,44,52,89,113
501-33,,,,106,108,11-13,ND,20,,6,96,10,101,107,105,108,113
501-34,,53,54,53,54,77-82,ND,3746,20,72,107,-29,18,46,55,90,113
501-35,,,,108,110,9-11,ND,10,,1,4,108,108,109,109,109,112
501-36,,,,55,?,68-80,ND,6699,27,79,105,-30,3,42,55,82,113
501-37,,,,110,111,8-9,ND,4,1,1,2,110,110,110,111,111,112
501-38,,,,55,?,68-80,ND,6373,29,78,111,-35,5,43,56,84,113
501-40,,,,55,?,68-80,ND,7038,27,78,107,-31,5,45,56,84,113
501-42,,,,56,?,67-79,ND,3841,23,75,108,-32,11,45,56,87,113
501-44,,57,58,57,58,73-78,ND,2711,22,73,104,-34,17,47,57,90,113
501-46,,,,59,?,64-76,ND,2326,19,70,103,-32,22,48,59,93,113
501-48,,60,61,60,61,70-75,ND,1987,21,70,106,-33,23,52,51,93,113
501-50,,,,62,?,61-73,ND,2288,18,73,108,-30,18,56,63,91,113
501-52,,63,64,63,?,60-72,ND,1722,18,71,104,-30,20,60,64,91,113
501-54,,63,64,63,64,67-72,ND,1720,20,71,105,-29,21,63,63,93,113
501-56,,,,65,?,58-70,ND,1980,,74,107,-35,10,64,52,84,113
501-58,,66,67,66,?,57-69,ND,2138,17,75,109,-36,9,62,66,85,113
501-60,,66,67,66,67,64-69,ND,1195,18,64,103,-29,28,67,67,93,113
501-62,,,,68,?,55-67,ND,1245,17,67,106,-26,25,68,68,93,113
501-63,,,,,,,,1,85,85,85,28,28,28,113,113,113
501-64,,,,68,?,55-67,ND,1062,19,66,105,-20,27,69,68,93,113
501-66,,,,69,?,54-66,ND,928,8,57,112,-35,36,69,71,94,113
501-68,,,,69,?,54-66,ND,917,7,66,115,-37,26,69,70,92,113
501-70,,,,70,?,53-65,ND,678,16,62,103,-23,32,70,72,94,113
501-72,,,,71,?,52-64,ND,599,7,59,104,-20,35,72,71,94,113
501-74,,,,71,?,52-64,ND,737,11,63,104,-22,30,72,71,94,113
501-76,,,,72,?,51-63,ND,494,6,52,103,-15,41,72,73,94,113
501-78,,,,72,?,51-63,ND,263,,52,100,-18,44,77,60,96,113
501-80,,,,73,?,50-62,ND,230,,46,97,-7,52,78,72,98,113
501-82,,,,73,?,50-62,ND,6963,21,86,112,-28,-2,66,70,85,112
501-84,,,,73,?,50-62,ND,855,5,68,110,-36,23,73,55,91,113
501-86,,,,74,?,49-61,ND,570,,58,103,-20,35,74,13,94,113
501-88,,,,74,?,49-61,ND,861,16,70,100,-13,27,75,75,97,113
501-90,,75,76,75,76,55-60,ND,422,4,53,101,-16,43,76,76,96,113
