551-01,,51,52,36,50,81-99,CA,6128,31,79,105,-29,1,33,41,81,112
551-02,,,,70,?,53-65,CA,787,14,49,101,-21,45,70,71,95,113
551-03,,51,52,36,50,81-99,CA,6310,33,79,108,-38,2,22,43,81,113
551-04,,,,71,?,52-64,CA,761,15,58,104,-26,37,71,71,96,113
551-05,,51,52,36,50,81-99,CA,6216,28,79,110,-30,2,22,38,82,113
551-06,,,,71,?,52-64,CA,666,14,49,103,-22,47,71,71,96,113
551-07,,51,52,36,50,81-99,CA,6461,38,79,106,-28,3,32,38,82,113
551-08,,,,71,?,52-64,CA,595,7,46,115,-39,49,71,72,96,113
551-09,,51,52,36,50,81-99,CA,6174,33,79,106,-28,2,30,42,82,112
551-10,,51,52,36,50,81-99,CA,5944,24,78,109,-33,4,35,40,83,113
551-11,,,,71,?,52-64,CA,563,15,50,101,-21,45,72,72,95,113
551-12,,51,52,36,50,81-99,CA,5512,21,77,106,-29,10,33,42,88,113
551-13,,,,72,?,51-63,CA,559,,45,101,-24,50,76,72,96,113
551-14,,51,52,36,50,81-99,CA,5317,21,77,106,-31,9,30,43,87,113
551-15,,,,72,?,51-63,CA,542,15,41,98,-13,55,72,72,97,113
551-16,,51,52,36,50,81-99,CA,5626,23,77,107,-32,9,27,43,87,113
551-17,,,,72,?,51-63,CA,422,,43,103,-12,53,76,58,96,113
551-18,,51,52,36,50,81-99,CA,5315,29,77,112,-44,10,32,43,87,113
551-19,,,,73,?,50-62,CA,434,1,48,100,-18,47,77,68,96,113
551-20,,51,52,36,50,81-99,CA,5347,26,77,108,-36,10,39,43,88,113
551-21,,,,73,?,50-62,CA,4924,20,85,113,-29,-3,72,72,83,113
551-22,,51,52,36,50,81-99,CA,6240,28,78,105,-34,7,39,41,86,113
551-23,,,,73,?,50-62,CA,851,5,62,115,-38,31,73,68,93,113
551-24,,51,52,36,50,81-99,CA,5410,19,77,107,-31,9,30,41,86,113
551-25,,,,73,?,50-62,CA,572,11,54,99,-19,40,73,73,94,113
551-26,,51,52,36,50,81-99,CA,5322,21,77,143,-37,8,27,40,85,113
551-27,,,,73,?,50-62,CA,672,8,64,102,-22,26,73,73,90,113
551-28,,51,52,36,50,81-99,CA,5422,25,77,106,-33,9,31,40,87,113
551-29,,,,74,?,49-61,CA,458,2,50,106,-21,46,74,75,97,113
551-30,,51,52,36,50,81-99,CA,5272,31,76,108,-33,12,42,44,89,113
551-31,,,,74,?,49-61,CA,461,10,52,100,-19,43,74,70,95,113
551-32,,51,52,36,50,81-99,CA,4890,19,77,106,-39,10,42,47,87,113
551-33,,,,74,?,49-61,CA,465,5,51,103,-18,45,74,75,97,113
551-34,,51,52,36,50,81-99,CA,5011,24,77,114,-32,11,38,45,89,113
551-35,,,,75,?,48-60,CA,540,3,57,99,-17,40,75,74,97,113
551-36,,51,52,36,50,81-99,CA,4408,19,74,106,-35,14,35,45,89,113
551-37,,,,75,?,48-60,CA,549,4,57,99,-10,39,75,75,97,113
551-38,,51,52,36,50,81-99,CA,4280,20,73,105,-25,17,35,50,91,113
551-39,,,,75,?,48-60,CA,426,11,55,105,-16,41,75,77,96,113
551-40,,51,52,36,50,81-99,CA,4426,20,74,107,-30,15,39,51,89,113
551-41,,,,76,?,47-59,CA,342,9,47,110,-32,50,76,76,97,113
551-42,,51,52,36,50,81-99,CA,3847,22,71,107,-30,20,42,52,92,113
551-43,,,,76,?,47-59,CA,308,3,48,114,-35,50,76,77,98,113
551-44,,51,52,36,50,81-99,CA,3638,23,72,105,-29,16,46,43,89,113
551-45,,,,76,?,47-59,CA,346,1,48,103,-14,49,76,41,98,113
551-46,,51,52,51,?,72-84,CA,4757,27,76,111,-33,8,42,42,85,113
551-47,,,,77,?,46-58,CA,438,6,55,105,-23,40,77,42,96,113
551-48,,,,53,?,70-82,CA,2911,21,69,104,-28,22,43,55,92,113
551-49,,,,77,?,46-58,CA,364,,58,102,-16,38,77,62,96,113
551-50,,,,54,?,69-81,CA,3298,20,72,105,-35,17,47,45,89,113
551-51,,,,78,?,45-57,CA,362,,54,100,-15,43,78,46,97,113
551-52,,,,55,?,68-80,CA,2819,24,68,105,-31,23,46,44,92,113
551-53,,,,78,?,45-57,CA,346,1,51,102,-4,46,78,45,98,113
551-54,,,,56,?,67-79,CA,2940,22,71,106,-26,19,55,57,91,113
551-55,,,,79,?,44-56,CA,326,,54,109,-14,44,79,72,98,113
551-56,,,,57,?,66-78,CA,2556,22,70,104,-33,21,49,60,91,113
551-57,,,,79,?,44-56,CA,338,1,56,102,-14,41,79,44,98,113
551-58,,,,58,?,65-77,CA,2133,,65,106,-27,27,53,41,93,113
551-59,,,,80,?,43-55,CA,396,1,57,98,-9,41,79,79,98,113
551-60,,,,59,?,64-76,CA,1992,18,65,103,-22,28,54,60,93,113
551-61,,,,80,?,43-55,CA,376,1,58,111,-23,38,80,42,97,113
551-62,,,,60,?,63-75,CA,1932,19,67,105,-25,27,59,62,94,113
551-63,,,,80,?,43-55,CA,351,,61,103,-6,37,80,78,99,113
551-64,,,,61,?,62-74,CA,2171,20,69,108,-30,22,53,62,92,113
551-65,,,,81,?,42-54,CA,281,1,56,106,-19,42,81,73,98,112
551-66,,,,62,?,61-73,CA,1651,,63,107,-37,30,54,45,94,113
551-67,,,,81,?,42-54,CA,264,1,56,102,-6,43,81,79,99,113
551-68,,,,62,?,61-73,CA,2494,18,75,106,-32,14,62,63,89,113
551-69,,,,82,?,41-53,CA,286,1,56,103,-9,42,81,80,99,113
551-70,,,,63,?,60-72,CA,4164,23,84,118,-39,-1,63,64,83,113
551-71,,,,82,?,41-53,CA,241,1,51,95,-5,48,82,81,99,112
551-72,,,,63,?,60-72,CA,1435,18,64,105,-28,28,64,66,93,113
551-73,,,,82,?,41-53,CA,257,,56,100,-15,42,82,44,98,112
551-74,,,,64,?,59-71,CA,1130,,56,100,-20,39,61,47,95,113
551-75,,,,83,?,40-52,CA,229,,52,103,-6,48,83,83,100,113
551-76,,,,64,?,59-71,CA,1285,17,63,111,-30,29,64,64,93,113
551-77,,,,83,?,40-52,CA,241,,57,95,-4,42,83,54,99,113
551-78,,,,65,?,58-70,CA,1747,,68,105,-33,20,64,49,89,113
551-79,,,,84,?,39-51,CA,245,2,54,103,-5,45,84,45,100,113
551-80,,,,66,?,57-69,CA,2562,,78,114,-37,4,63,43,83,113
551-81,,,,84,?,39-51,CA,221,5,54,96,-3,45,84,49,100,113
551-82,,,,66,?,57-69,CA,1261,19,57,104,-30,34,62,61,92,113
551-83,,,,85,?,38-50,CA,178,,51,102,-3,48,85,84,100,112
551-84,,,,66,?,57-69,CA,1223,,65,107,-33,28,64,46,93,113
551-85,,,,85,?,38-50,CA,186,,53,100,-3,46,85,42,100,113
551-86,,,,67,?,56-68,CA,1056,,58,107,-32,35,66,51,94,113
551-87,,,,85,?,38-50,CA,190,3,55,101,-2,44,85,85,100,113
551-88,,,,67,?,56-68,CA,932,18,58,122,-27,35,67,67,93,113
551-89,,,,86,?,37-49,CA,196,,58,98,-3,42,86,86,101,113
551-90,,,,68,?,55-67,CA,966,18,53,102,-17,41,63,68,95,113
551-91,,,,86,?,37-49,CA,155,3,56,97,3,43,86,86,100,113
551-92,,,,68,?,55-67,CA,1020,19,64,103,-29,31,64,68,95,113
551-93,,,,87,?,36-48,CA,184,1,50,102,-4,49,87,86,100,113
551-94,,,,69,?,54-66,CA,820,18,54,104,-25,40,66,70,95,113
551-95,,,,87,?,36-48,CA,161,5,54,102,-3,47,87,87,101,113
551-96,,,,69,?,54-66,CA,713,11,56,106,-30,39,69,44,96,113
551-97,,,,87,?,36-48,CA,160,14,53,100,-1,47,87,81,100,113
551-98,,,,70,?,53-65,CA,762,17,55,102,-15,40,70,71,95,113
551-99,,,,87,?,36-48,CA,194,11,52,98,0,47,87,89,100,112
552-01,,51,52,36,50,81-99,CA,6402,29,78,109,-49,5,27,38,83,113
552-02,,,,70,?,53-65,CA,801,3,60,104,-19,35,71,71,95,113
552-03,,51,52,36,50,81-99,CA,6338,28,78,109,-35,4,26,42,83,113
552-04,,,,71,?,52-64,CA,564,,51,103,-27,43,71,56,95,113
552-05,,51,52,36,50,81-99,CA,6670,27,78,106,-28,4,33,40,83,113
552-06,,,,71,?,52-64,CA,666,17,51,104,-28,44,71,71,95,113
552-07,,51,52,36,50,81-99,CA,6380,26,78,105,-43,2,22,7,81,113
552-08,,,,71,?,52-64,CA,674,5,52,105,-24,41,72,72,93,113
552-09,,51,52,36,50,81-99,CA,6543,34,78,106,-28,3,22,38,82,112
552-10,,51,52,36,50,81-99,CA,6698,25,79,109,-29,2,23,39,82,113
552-11,,,,72,?,51-63,CA,569,7,46,101,-8,49,72,72,96,113
552-12,,51,52,36,50,81-99,CA,5335,25,77,106,-31,8,30,44,86,113
552-13,,,,72,?,51-63,CA,518,7,44,109,-18,51,71,50,96,113
552-14,,51,52,36,50,81-99,CA,5047,28,77,108,-34,6,26,43,84,113
552-15,,,,72,?,51-63,CA,551,8,49,115,-35,47,72,74,96,113
552-16,,51,52,36,50,81-99,CA,5697,23,77,124,-41,8,36,40,86,113
552-17,,,,72,?,51-63,CA,411,6,43,100,-13,52,77,76,96,113
552-18,,51,52,36,50,81-99,CA,5708,26,77,108,-31,9,32,44,87,113
552-19,,,,72,?,51-63,CA,491,5,42,99,-13,55,72,76,97,113
552-20,,51,52,36,50,81-99,CA,5625,22,76,106,-43,10,29,42,87,113
552-21,,,,73,?,50-62,CA,8647,21,87,110,-31,-6,64,72,82,112
552-22,,51,52,36,50,81-99,CA,5373,22,77,105,-31,9,39,43,86,113
552-23,,,,73,?,50-62,CA,781,9,59,106,-25,36,72,43,95,113
552-24,,51,52,36,50,81-99,CA,5506,19,76,111,-33,13,28,42,89,113
552-25,,,,73,?,50-62,CA,522,3,50,102,-20,44,73,73,94,113
552-26,,51,52,36,50,81-99,CA,5651,4,76,113,-35,12,74,44,88,113
552-27,,,,73,?,50-62,CA,573,7,56,111,-33,36,73,73,93,113
552-28,,51,52,36,50,81-99,CA,5740,23,76,105,-33,12,39,42,89,113
552-29,,,,74,?,49-61,CA,477,11,54,105,-16,43,73,74,97,113
552-30,,51,52,36,50,81-99,CA,5259,21,78,109,-35,8,32,46,87,113
552-31,,,,74,?,49-61,CA,486,8,53,111,-34,42,74,67,95,113
552-32,,51,52,36,50,81-99,CA,4466,21,75,108,-30,14,34,29,89,113
552-33,,,,74,?,49-61,CA,389,2,51,105,-16,45,74,76,96,113
552-34,,51,52,36,50,81-99,CA,4323,25,76,109,-36,12,39,48,88,113
552-35,,,,75,?,48-60,CA,530,8,57,105,-12,39,75,76,96,113
552-36,,51,52,36,50,81-99,CA,4162,24,76,141,-35,11,44,46,87,113
552-37,,,,75,?,48-60,CA,684,3,64,99,-11,33,75,76,97,113
552-38,,51,52,36,50,81-99,CA,4856,21,75,107,-31,14,45,46,89,113
552-39,,,,75,?,48-60,CA,508,3,57,104,-21,39,75,76,96,113
552-40,,51,52,36,50,81-99,CA,3874,21,72,109,-46,19,37,52,91,113
552-41,,,,76,?,47-59,CA,325,4,48,115,-37,48,76,77,97,113
552-42,,51,52,36,50,81-99,CA,3817,,72,111,-32,19,40,29,92,113
552-43,,,,76,?,47-59,CA,319,4,46,98,-8,52,76,77,98,113
552-44,,51,52,36,50,81-99,CA,4292,19,75,107,-30,11,43,41,86,113
552-45,,,,76,?,47-59,CA,261,1,42,101,-22,55,76,77,97,112
552-46,,51,52,51,?,72-84,CA,4467,,75,111,-33,9,50,35,85,113
552-47,,,,77,?,46-58,CA,433,1,61,99,-16,34,77,77,95,112
552-48,,,,53,?,70-82,CA,3043,26,72,109,-32,18,55,52,90,113
552-49,,,,77,?,46-58,CA,455,5,59,100,-17,38,77,77,98,113
552-50,,,,54,?,69-81,CA,3230,23,70,110,-30,19,44,56,90,113
552-51,,,,78,?,45-57,CA,340,,54,100,-22,43,78,40,98,113
552-52,,,,55,?,68-80,CA,2989,20,69,111,-28,21,49,57,91,113
552-53,,,,78,?,45-57,CA,293,3,46,98,-11,50,78,56,97,113
552-54,,,,56,?,67-79,CA,3247,17,71,104,-34,17,48,56,89,113
552-55,,,,79,?,44-56,CA,366,6,58,115,-35,39,79,79,97,113
552-56,,,,57,?,66-78,CA,2425,,67,107,-26,25,57,43,93,113
552-57,,,,79,?,44-56,CA,266,5,50,101,0,49,79,79,99,113
552-58,,,,58,?,65-77,CA,2108,21,64,102,-24,30,49,61,94,113
552-59,,,,80,?,43-55,CA,340,2,57,110,-26,41,79,79,98,113
552-60,,,,59,?,64-76,CA,2085,19,66,106,-27,26,54,62,93,113
552-61,,,,80,?,43-55,CA,358,3,57,101,-15,40,80,79,98,113
552-62,,,,60,?,63-75,CA,1819,21,64,106,-27,30,50,60,94,113
552-63,,,,80,?,43-55,CA,338,14,57,102,-16,41,80,44,99,113
552-64,,,,61,?,62-74,CA,1992,19,66,106,-32,25,61,63,92,113
552-65,,,,81,?,42-54,CA,298,2,58,99,-12,39,81,44,98,113
552-66,,,,62,?,61-73,CA,1608,19,63,104,-29,30,51,63,94,113
552-67,,,,81,?,42-54,CA,287,,57,99,-16,42,81,48,99,113
552-68,,,,63,?,60-72,CA,2067,18,70,105,-36,20,60,65,91,113
552-69,,,,82,?,41-53,CA,292,,57,101,-6,41,81,68,98,112
552-70,,,,63,?,60-72,CA,1402,19,61,104,-28,31,59,66,93,113
552-71,,,,82,?,41-53,CA,263,5,53,96,0,45,82,82,99,113
552-72,,,,63,?,60-72,CA,1642,19,65,102,-30,26,63,65,92,113
552-73,,,,82,?,41-53,CA,219,2,56,103,-18,42,82,47,99,113
552-74,,,,64,?,59-71,CA,1304,19,63,105,-32,31,64,67,94,113
552-75,,,,83,?,40-52,CA,221,4,58,103,0,41,83,82,100,113
552-76,,,,64,?,59-71,CA,1480,,68,105,-26,25,64,17,93,113
552-77,,,,83,?,40-52,CA,213,3,55,100,-12,44,83,42,99,113
552-78,,,,65,?,58-70,CA,1933,19,72,106,-34,11,65,66,84,113
552-79,,,,84,?,39-51,CA,200,,53,102,1,46,84,54,100,113
552-80,,,,66,?,57-69,CA,2338,,76,109,-35,6,66,46,83,113
552-81,,,,84,?,39-51,CA,227,1,49,107,-10,49,84,72,99,113
552-82,,,,66,?,57-69,CA,1208,19,60,104,-34,31,65,42,91,113
552-83,,,,85,?,38-50,CA,179,3,53,101,-1,47,85,84,100,113
552-84,,,,66,?,57-69,CA,1183,17,59,104,-21,34,66,67,94,113
552-85,,,,85,?,38-50,CA,202,,49,104,1,51,85,85,101,113
552-86,,,,67,?,56-68,CA,1068,19,58,103,-28,36,65,52,94,113
552-87,,,,85,?,38-50,CA,202,2,58,98,-4,42,85,85,101,113
552-88,,,,67,?,56-68,CA,1051,15,60,103,-28,33,68,68,94,113
552-89,,,,86,?,37-49,CA,165,,56,100,1,45,86,61,101,113
552-90,,,,68,?,55-67,CA,879,19,57,100,-25,38,67,68,95,113
552-91,,,,86,?,37-49,CA,185,,55,102,0,45,86,86,101,113
552-92,,,,68,?,55-67,CA,862,18,61,105,-30,32,68,54,94,113
552-93,,,,87,?,36-48,CA,160,,52,96,0,48,87,72,100,113
552-94,,,,69,?,54-66,CA,797,17,53,99,-14,41,69,43,95,113
552-95,,,,87,?,36-48,CA,131,2,54,97,4,47,87,87,102,113
552-96,,,,69,?,54-66,CA,944,18,60,104,-19,34,69,69,95,113
552-97,,,,87,?,36-48,CA,171,14,51,98,-2,50,87,86,101,113
552-98,,,,70,?,53-65,CA,748,14,51,101,-23,44,68,41,95,113
552-99,,,,87,?,36-48,CA,154,13,57,100,5,44,87,89,102,112
553-01,,51,52,52,?,71-83,CA,6208,24,77,107,-28,5,36,41,82,112
553-02,,,,70,?,53-65,CA,808,12,57,105,-19,38,70,67,96,113
553-03,,51,52,52,?,71-83,CA,6786,26,78,107,-28,3,36,38,82,113
553-04,,,,71,?,52-64,CA,654,5,53,101,-18,42,71,44,95,113
553-05,,51,52,52,?,71-83,CA,6464,24,78,106,-30,4,25,39,82,113
553-06,,,,71,?,52-64,CA,574,15,45,101,-15,50,71,72,96,113
553-07,,51,52,52,?,71-83,CA,6343,30,78,106,-28,4,24,40,83,113
553-08,,,,71,?,52-64,CA,783,9,59,104,-30,31,71,72,91,113
553-09,,51,52,52,?,71-83,CA,6452,,78,106,-36,3,24,15,82,113
553-10,,51,52,52,?,71-83,CA,6686,31,79,105,-28,3,21,39,82,113
553-11,,,,71,?,52-64,CA,571,5,43,100,-19,53,71,53,96,113
553-12,,51,52,52,?,71-83,CA,5311,21,77,108,-30,9,38,39,87,113
553-13,,,,72,?,51-63,CA,502,,42,100,-7,53,72,63,96,113
553-14,,51,52,52,?,71-83,CA,5347,24,77,108,-32,9,38,41,86,113
553-15,,,,72,?,51-63,CA,445,9,48,107,-16,47,72,45,95,113
553-16,,51,52,52,?,71-83,CA,5423,23,77,107,-31,8,29,40,85,113
553-17,,,,72,?,51-63,CA,417,,41,115,-36,55,98,73,97,113
553-18,,51,52,52,?,71-83,CA,4487,22,77,107,-29,7,27,43,85,113
553-19,,,,72,?,51-63,CA,417,11,41,111,-35,54,72,74,95,113
553-20,,51,52,52,?,71-83,CA,5745,24,76,105,-31,9,27,44,86,113
553-21,,,,73,?,50-62,CA,9771,65,87,110,-30,-7,13,72,81,108
553-22,,51,52,52,?,71-83,CA,5344,28,76,105,-31,11,27,40,88,113
553-23,,,,73,?,50-62,CA,722,5,59,115,-37,36,73,72,95,113
553-24,,51,52,52,?,71-83,CA,5588,23,75,105,-48,13,30,6,89,113
553-25,,,,73,?,50-62,CA,487,16,49,101,-15,47,73,73,96,113
553-26,,51,52,52,?,71-83,CA,5512,20,76,108,-32,12,35,45,88,113
553-27,,,,73,?,50-62,CA,690,,62,106,-23,29,73,41,91,113
553-28,,51,52,52,?,71-83,CA,5467,,76,106,-33,12,40,21,89,113
553-29,,,,74,?,49-61,CA,509,12,57,106,-24,38,74,50,96,113
553-30,,51,52,52,?,71-83,CA,5145,,77,110,-31,10,33,15,88,113
553-31,,,,74,?,49-61,CA,521,1,53,103,-20,41,74,72,95,113
553-32,,51,52,52,?,71-83,CA,4197,24,75,108,-30,12,44,44,88,113
553-33,,,,74,?,49-61,CA,482,3,53,102,-17,43,74,75,97,113
553-34,,51,52,52,?,71-83,CA,4537,22,75,105,-31,12,35,45,88,113
553-35,,,,75,?,48-60,CA,519,3,59,102,-14,37,75,75,96,113
553-36,,51,52,52,?,71-83,CA,4028,2,73,120,-50,15,43,0,89,113
553-37,,,,75,?,48-60,CA,347,4,47,108,-12,50,75,44,98,113
