801-12,,,,,,,,1,,,,112,112,112,112,112,112
801-14,,,,,,,,1,,,,113,113,113,113,113,113
801-18,,,,,,,,1,,,,112,112,112,112,112,112
801-30,,,,,,,,1,,,,111,111,111,111,111,111
801-31,,,,,,,,1,,,,112,112,112,112,112,112
801-33,,,,,,,,1,1,1,1,112,112,112,113,113,113
801-41,,,,,,,,1,,,,111,111,111,111,111,111
801-51,,,,,,,,1,,,,112,112,112,112,112,112
801-62,,,,,,,,1,1,1,1,112,112,112,113,113,113
801-64,,,,,,,,1,,,,113,113,113,113,113,113
801-66,,,,,,,,1,1,1,1,111,111,111,112,112,112
801-67,,,,,,,,1,,,,113,113,113,113,113,113
801-87,,,,,,,,1,1,1,1,112,112,112,113,113,113
801-90,,,,,,,,1,1,1,1,112,112,112,113,113,113
801-96,,,,,,,,1,1,1,1,111,111,111,112,112,112
802-20,,,,,,,,1,1,1,1,111,111,111,112,112,112
802-39,,,,,,,,1,,,,112,112,112,112,112,112
802-43,,,,,,,,1,1,1,1,112,112,112,113,113,113
802-49,,,,,,,,1,1,1,1,112,112,112,113,113,113
802-50,,,,,,,,1,1,1,1,111,111,111,112,112,112
802-69,,,,,,,,1,1,1,1,111,111,111,112,112,112
802-82,,,,,,,,1,1,1,1,112,112,112,113,113,113
802-84,,,,,,,,1,,,,112,112,112,112,112,112
802-88,,,,,,,,1,1,1,1,112,112,112,113,113,113
802-94,,,,,,,,1,,,,112,112,112,112,112,112
803-06,,,,,,,,1,1,1,1,111,111,111,112,112,112
803-13,,,,,,,,1,1,1,1,111,111,111,112,112,112
803-17,,,,,,,,1,1,1,1,112,112,112,113,113,113
803-22,,,,,,,,1,,,,111,111,111,111,111,111
803-28,,,,,,,,1,,,,111,111,111,111,111,111
803-31,,,,,,,,1,,,,111,111,111,111,111,111
803-41,,,,,,,,1,,,,111,111,111,111,111,111
803-47,,,,,,,,3,,,,111,111,112,111,111,112
803-53,,,,,,,,1,,,,112,112,112,112,112,112
803-63,,,,,,,,1,,,,112,112,112,112,112,112
803-65,,,,,,,,1,1,1,1,112,112,112,113,113,113
803-76,,,,,,,,1,,,,112,112,112,112,112,112
803-83,,,,,,,,1,1,1,1,111,111,111,112,112,112
803-84,,,,,,,,1,2,2,2,111,111,111,113,113,113
803-87,,,,,,,,1,,,,111,111,111,111,111,111
803-95,,,,,,,,1,25,25,25,87,87,87,112,112,112
803-96,,,,,,,,1,1,1,1,112,112,112,113,113,113
804-05,,,,,,,,1,,,,112,112,112,112,112,112
804-06,,,,,,,,1,1,1,1,111,111,111,112,112,112
804-08,,,,,,,,1,,,,112,112,112,112,112,112
804-10,,,,,,,,1,75,75,75,38,38,38,113,113,113
