201-01,,,,36,50,81-99,PA,5775,1,76,108,-36,11,25,21,87,113
201-03,,,,36,50,81-99,PA,4292,28,77,103,-30,10,35,44,88,113
201-04,,,,,,,,1,1,1,1,111,111,111,112,112,112
201-05,,,,36,50,81-99,PA,4344,24,77,106,-32,10,25,43,88,113
201-07,,,,36,50,81-99,PA,5461,24,77,104,-39,10,24,43,87,113
201-09,,,,36,50,81-99,PA,4152,25,77,105,-39,10,29,44,87,113
201-10,,,,36,50,81-99,PA,4589,25,77,103,-36,10,25,40,87,113
201-12,,,,36,50,81-99,PA,6352,28,75,105,-32,16,41,48,91,113
201-14,,,,36,50,81-99,PA,6346,24,74,104,-34,18,36,49,93,113
201-16,,,,36,50,81-99,PA,6134,28,74,106,-30,18,34,48,93,113
201-18,,,,36,50,81-99,PA,5984,25,76,115,-40,14,32,48,91,113
201-20,,,,36,50,81-99,PA,5871,26,75,106,-30,16,37,50,92,113
201-22,,,,36,50,81-99,PA,4782,24,71,103,-32,23,38,47,94,113
201-24,,,,36,50,81-99,PA,4706,22,71,103,-23,25,38,51,96,113
201-25,,,,,,,,1,,,,111,111,111,111,111,111
201-26,,,,51,?,72-84,PA,4256,21,69,103,-33,25,41,44,94,113
201-28,,52,54,52,54,77-83,PA,4495,,74,108,-30,17,107,52,91,113
201-30,,55,56,55,56,75-80,PA,3828,19,71,105,-34,21,43,57,92,113
201-32,,57,59,57,59,72-78,PA,2778,19,68,105,-32,27,54,57,95,113
201-34,,60,62,60,62,69-75,PA,2092,21,64,103,-19,32,64,63,97,113
201-36,,,,63,?,60-72,PA,1943,20,63,107,-29,32,69,65,95,113
201-38,,,,64,?,59-71,PA,1417,18,61,104,-29,36,64,66,97,113
201-40,,65,66,65,66,65-70,PA,2541,17,75,108,-38,9,66,66,84,113
201-42,,67,68,67,68,63-68,PA,1091,8,59,115,-37,36,67,67,96,113
201-44,,,,69,?,54-66,PA,947,15,55,105,-26,41,69,70,97,113
201-46,,70,71,70,71,60-65,PA,780,17,53,101,-19,44,69,44,97,113
201-48,,,,72,?,51-63,PA,545,,48,101,-6,51,72,60,100,113
201-50,,,,73,?,50-62,PA,1233,8,67,108,-24,23,73,72,91,113
201-52,,,,74,?,49-61,PA,852,12,62,106,-25,32,74,74,94,113
201-53,,,,,,,,1,1,1,1,112,112,112,113,113,113
201-54,,,,75,?,48-60,PA,455,4,40,101,-17,60,75,76,100,113
201-55,,,,,,,,1,1,1,1,112,112,112,113,113,113
