051-01,,51,52,36,50,81-99,NY,6531,28,78,106,-29,4,23,39,83,113
051-02,,,,110,111,8-9,NY,10,,15,87,24,95,110,110,110,112
051-03,,51,52,36,50,81-99,NY,6049,30,78,104,-28,2,25,38,80,113
051-05,,51,52,36,50,81-99,NY,5979,25,78,105,-39,2,22,40,80,113
051-07,,51,52,36,50,81-99,NY,6370,25,78,107,-34,4,24,38,82,113
051-09,,51,52,36,50,81-99,NY,6387,24,79,107,-35,3,22,39,82,113
051-10,,51,52,36,50,81-99,NY,6463,28,78,106,-29,5,23,39,83,113
051-11,,,,,,,,1,,,,112,112,112,112,112,112
051-12,,51,52,36,50,81-99,NY,5344,,76,107,-29,10,33,17,87,113
051-14,,51,52,36,50,81-99,NY,4709,24,77,105,-46,7,31,41,85,113
051-16,,51,52,36,50,81-99,NY,6085,23,76,105,-31,12,26,43,89,113
051-18,,51,52,36,50,81-99,NY,5446,21,76,112,-31,12,40,37,89,113
051-20,,51,52,36,50,81-99,NY,5391,30,77,107,-30,10,36,43,88,113
051-22,,51,52,36,50,81-99,NY,5188,25,74,108,-31,18,35,39,92,113
051-24,,51,52,36,50,81-99,NY,4927,27,72,107,-31,21,43,50,94,113
051-26,,51,52,36,50,81-99,NY,4357,21,73,108,-27,18,48,51,92,113
051-28,,51,52,51,52,79-84,NY,4497,24,74,105,-31,15,44,51,90,113
051-30,,53,55,53,55,76-82,NY,3136,24,70,104,-28,22,52,61,92,113
051-32,,56,57,56,57,74-79,NY,2666,23,68,108,-29,23,55,58,92,113
051-33,,,,,,,,1,,,,111,111,111,111,111,111
051-34,,58,60,58,60,71-77,NY,2826,24,68,104,-27,26,47,59,95,113
051-36,,61,62,61,62,69-74,NY,1696,20,61,106,-19,34,51,60,96,113
051-38,,63,64,63,?,60-72,NY,1473,19,61,104,-26,34,61,67,95,113
051-40,,63,64,63,64,67-72,NY,1384,,62,105,-28,32,62,33,94,113
051-41,,,,,,,,1,,,,112,112,112,112,112,112
051-42,,65,66,65,66,65-70,NY,2065,19,75,111,-36,12,64,66,87,113
051-44,,,,67,?,56-68,NY,1323,16,61,107,-28,35,66,67,96,113
051-46,,68,69,68,69,62-67,NY,1207,12,62,103,-19,33,68,66,96,113
051-48,,,,70,?,53-65,NY,843,17,56,103,-18,39,70,70,96,113
051-50,,71,72,71,72,59-64,NY,736,18,59,104,-8,37,65,72,96,113
051-52,,73,74,73,?,50-62,NY,5623,21,85,109,-30,-2,69,71,83,113
051-54,,73,74,73,74,57-62,NY,996,4,68,106,-29,24,73,73,92,113
051-56,,,,75,77,54-60,NY,556,11,57,102,-20,40,75,74,97,113
051-58,,76,77,76,77,54-59,NY,372,2,48,117,-36,51,75,77,99,113
051-60,,76,77,76,77,54-59,NY,340,6,52,115,-34,46,76,76,98,113
051-62,,78,79,78,79,52-57,NY,298,1,50,100,-13,49,78,78,99,113
051-64,,,,80,?,43-55,NY,334,1,53,100,-15,45,80,80,99,113
051-66,,81,82,81,82,49-54,NY,286,6,57,111,-9,43,81,83,101,113
051-68,,83,84,83,84,47-52,NY,209,,51,101,-1,49,83,82,101,112
051-70,,85,86,85,86,45-50,NY,193,,52,102,-4,49,85,85,102,113
051-71,,,,,,,,1,1,1,1,112,112,112,113,113,113
051-72,,,,87,?,36-48,NY,131,1,42,93,5,61,87,86,103,113
051-74,,,,88,?,23-31,NY,112,,45,95,9,58,88,88,103,113
051-76,,,,88,92,27-31,NY,139,,55,99,3,46,89,89,102,113
051-78,,,,88,92,27-31,NY,87,1,44,96,6,61,90,91,105,113
051-80,,,,92,?,19-27,NY,162,,64,101,2,38,104,92,103,113
051-82,,,,92,95,24-27,NY,131,,63,99,-6,40,93,93,104,112
051-84,,,,95,?,16-24,NY,94,,54,97,7,49,94,94,104,113
051-86,,,,96,?,15-23,NY,80,,57,97,11,48,96,96,105,113
051-87,,,,,,,,1,1,1,1,111,111,111,112,112,112
051-88,,,,98,?,13-21,NY,45,,50,102,5,55,98,98,105,113
051-90,,,,100,?,11-19,NY,37,,35,95,7,70,100,100,105,113
051-92,,,,102,104,15-17,NY,46,,37,92,16,69,102,102,106,113
051-94,,,,104,106,13-15,NY,23,,40,92,20,67,104,103,108,113
051-95,,,,,,,,1,1,1,1,112,112,112,113,113,113
051-96,,,,106,108,11-13,NY,22,,26,83,26,81,106,106,107,113
051-98,,,,108,110,9-11,NY,13,,32,83,26,77,108,108,110,112
051-99,,,,,,,,1,,,,113,113,113,113,113,113
052-01,,51,52,36,50,81-99,NY,6345,38,78,106,-34,4,23,40,83,113
052-02,,,,110,111,8-9,NY,11,,15,65,45,95,110,110,110,112
052-03,,51,52,36,50,81-99,NY,6342,31,79,109,-28,4,24,39,83,113
052-04,,,,,,,,1,,,,112,112,112,112,112,112
052-05,,51,52,36,50,81-99,NY,6399,25,78,107,-28,4,21,37,83,113
052-07,,51,52,36,50,81-99,NY,6284,30,78,109,-31,4,23,38,83,113
052-08,,,,,,,,1,1,1,1,111,111,111,112,112,112
052-09,,51,52,36,50,81-99,NY,6237,33,78,106,-31,4,25,19,83,113
052-10,,51,52,36,50,81-99,NY,6103,32,78,106,-31,4,23,42,83,113
052-12,,51,52,36,50,81-99,NY,5471,25,76,104,-32,11,37,42,88,113
052-14,,51,52,36,50,81-99,NY,5591,24,76,105,-30,12,31,43,88,113
052-15,,,,,,,,1,,,,112,112,112,112,112,112
052-16,,51,52,36,50,81-99,NY,5582,24,76,106,-29,11,32,44,88,113
052-17,,,,,,,,1,,,,113,113,113,113,113,113
052-18,,51,52,36,50,81-99,NY,5648,22,77,113,-30,11,39,43,88,113
052-20,,51,52,36,50,81-99,NY,5989,25,77,107,-34,12,38,47,89,113
052-22,,51,52,36,50,81-99,NY,5446,22,74,108,-31,18,36,50,93,113
052-23,,,,,,,,1,1,1,1,112,112,112,113,113,113
052-24,,51,52,36,50,81-99,NY,4526,,73,114,-28,18,44,28,92,113
052-26,,51,52,36,50,81-99,NY,4762,21,72,105,-30,22,46,54,94,113
052-28,,51,52,51,52,79-84,NY,4636,26,75,106,-32,13,43,51,88,113
052-30,,53,55,53,55,76-82,NY,2960,23,70,110,-25,22,57,57,93,113
052-32,,56,57,56,57,74-79,NY,2772,27,69,108,-36,24,45,58,94,113
052-34,,58,60,58,60,71-77,NY,2586,24,69,108,-25,24,48,60,94,113
052-36,,61,62,61,62,69-74,NY,1950,23,65,104,-35,30,49,62,95,113
052-38,,63,64,63,?,60-72,NY,1498,19,64,105,-26,30,63,66,94,113
052-40,,63,64,63,64,67-72,NY,2121,18,78,108,-50,9,63,49,87,113
052-42,,65,66,65,66,65-70,NY,2518,17,76,110,-43,7,65,65,84,113
052-44,,,,67,?,56-68,NY,1331,19,62,101,-28,33,67,67,95,113
052-46,,68,69,68,69,62-67,NY,1015,20,66,102,-26,30,68,68,97,113
052-48,,,,70,?,53-65,NY,788,2,60,106,-20,36,70,70,96,113
052-50,,71,72,71,72,59-64,NY,897,15,63,108,-19,33,71,71,97,113
052-52,,73,74,73,?,50-62,NY,5569,20,85,110,-29,-2,66,72,83,113
052-54,,73,74,73,74,57-62,NY,1038,17,68,116,-30,25,73,74,93,113
052-56,,,,75,?,48-60,NY,476,4,53,102,-7,45,75,77,99,113
052-57,,,,,,,,1,,,,111,111,111,111,111,111
052-58,,76,77,76,?,47-59,NY,409,4,49,96,-9,48,76,77,98,113
052-60,,76,77,76,77,54-59,NY,280,13,47,101,-12,51,76,77,98,113
052-62,,78,79,78,79,52-57,NY,321,,52,98,-8,47,78,64,99,113
052-64,,,,80,?,43-55,NY,208,4,48,108,-10,53,80,81,101,113
052-66,,81,82,81,82,49-54,NY,284,1,55,100,-7,44,81,81,100,113
052-68,,83,84,83,84,47-52,NY,197,1,50,95,-7,50,83,84,100,112
052-70,,85,86,85,86,45-50,NY,189,2,53,98,-4,48,85,86,101,113
052-72,,,,87,?,36-48,NY,157,,50,105,-14,52,87,87,103,113
052-74,,,,88,?,23-31,NY,98,1,36,91,11,66,87,88,102,112
052-76,,,,88,92,27-31,NY,154,1,55,99,2,48,89,89,104,113
052-77,,,,,,,,1,,,,111,111,111,111,111,111
052-78,,,,88,92,27-31,NY,115,,57,96,5,46,90,90,104,113
052-79,,,,,,,,1,1,1,1,112,112,112,113,113,113
052-80,,,,92,?,19-27,NY,76,1,63,98,-6,39,91,92,103,113
052-81,,,,,,,,1,,,,113,113,113,113,113,113
052-82,,,,92,95,24-27,NY,127,,63,99,2,40,93,93,104,113
052-83,,,,,,,,1,1,1,1,112,112,112,113,113,113
052-84,,,,95,?,16-24,NY,119,,64,98,6,40,94,94,104,113
052-86,,,,96,98,21-23,NY,75,,59,97,8,45,96,96,105,113
052-88,,,,98,?,13-21,NY,37,,45,92,15,60,98,97,106,112
052-90,,,,100,?,11-19,NY,36,,31,98,10,73,100,100,104,113
052-92,,,,102,104,15-17,NY,41,,45,95,12,61,102,102,107,113
052-94,,,,104,106,13-15,NY,20,,38,94,14,69,104,104,107,110
052-96,,,,106,108,11-13,NY,10,,23,95,18,84,106,106,108,113
052-98,,,,108,110,9-11,NY,11,,28,94,16,80,108,108,109,112
053-01,,51,52,36,50,81-99,NY,5943,32,78,107,-31,4,21,39,82,113
053-02,,,,110,111,8-9,NY,5,,3,16,95,107,110,110,110,111
053-03,,51,52,36,50,81-99,NY,6006,26,78,104,-42,4,29,8,82,113
053-05,,51,52,36,50,81-99,NY,6005,32,77,104,-28,5,23,39,83,113
053-07,,51,52,36,50,81-99,NY,6092,26,77,103,-28,5,25,43,83,113
053-09,,51,52,36,50,81-99,NY,6049,33,78,105,-32,5,24,37,83,113
053-10,,51,52,36,50,81-99,NY,6060,4,77,108,-29,5,24,2,83,113
053-12,,51,52,36,50,81-99,NY,5825,32,76,106,-31,12,31,43,89,113
053-14,,51,52,36,50,81-99,NY,5704,23,76,106,-30,12,33,42,88,113
053-16,,51,52,36,50,81-99,NY,5733,26,76,109,-30,11,37,39,88,113
053-18,,51,52,36,50,81-99,NY,5506,22,76,108,-33,13,38,44,89,113
053-20,,51,52,36,50,81-99,NY,5763,26,77,118,-49,13,37,47,91,113
053-22,,51,52,36,50,81-99,NY,4835,19,76,112,-40,12,43,48,88,113
