151-01,,51,52,36,50,81-99,NJ,6691,36,77,105,-28,5,23,42,83,113
151-02,,,,97,98,21-22,NJ,51,,52,92,12,52,97,97,105,113
151-03,,51,52,36,50,81-99,NJ,6629,33,78,108,-29,4,25,41,82,113
151-04,,,,98,?,13-21,NJ,28,,29,85,25,74,98,98,103,112
151-05,,51,52,36,50,81-99,NJ,6633,31,78,105,-28,4,24,37,82,113
151-06,,,,100,?,11-19,NJ,23,,42,92,16,62,100,100,104,111
151-07,,51,52,36,50,81-99,NJ,6434,29,78,108,-29,4,35,38,83,113
151-08,,,,101,?,10-18,NJ,26,,43,88,20,62,101,101,106,113
151-09,,51,52,36,50,81-99,NJ,6029,32,77,109,-30,5,22,37,82,113
151-10,,51,52,36,50,81-99,NJ,5740,32,76,106,-30,4,31,37,80,113
151-11,,,,102,104,15-17,NJ,23,,29,93,13,75,102,102,105,110
151-12,,51,52,36,50,81-99,NJ,5755,31,76,106,-29,12,30,47,88,113
151-13,,,,104,105,14-15,NJ,18,,21,82,22,84,104,104,105,110
151-14,,51,52,36,50,81-99,NJ,5332,20,73,107,-34,15,37,44,89,113
151-15,,,,105,106,13-14,NJ,4,,21,67,41,85,105,105,107,110
151-16,,51,52,36,50,81-99,NJ,5165,24,76,110,-29,11,32,43,87,113
151-17,,,,106,108,11-13,NJ,7,,2,7,106,106,106,106,108,113
151-18,,51,52,36,50,81-99,NJ,5509,25,76,107,-31,11,36,49,88,113
151-19,,,,108,109,10-11,NJ,8,,17,81,32,91,108,108,109,113
151-20,,51,52,36,50,81-99,NJ,4849,28,74,104,-31,15,34,46,90,113
151-21,,,,109,110,9-10,NJ,7,,12,52,60,98,109,109,110,113
151-22,,51,52,36,50,81-99,NJ,4560,22,71,104,-32,20,44,52,92,113
151-23,,,,110,111,8-9,NJ,4,,8,33,79,102,110,110,110,112
151-24,,51,52,36,50,81-99,NJ,3440,22,71,104,-29,22,47,54,93,113
151-26,,51,52,51,52,79-84,NJ,4044,22,71,103,-32,21,45,53,92,113
151-28,,53,55,53,55,76-82,NJ,3664,25,73,112,-33,16,51,53,90,113
151-30,,56,57,56,57,74-79,NJ,2906,,70,105,-26,21,46,42,91,113
151-32,,58,59,58,59,72-77,NJ,2309,22,68,105,-28,26,46,60,94,113
151-34,,60,61,60,61,70-75,NJ,1872,21,65,103,-28,29,48,63,95,113
151-36,,61,62,62,?,61-73,NJ,2119,22,69,106,-26,23,62,64,93,113
151-37,,,,,,,,1,,,,112,112,112,112,112,112
151-38,,63,64,63,64,67-72,NJ,1565,,64,106,-32,28,63,48,93,113
151-40,,,,65,?,58-70,NJ,1385,20,61,118,-31,33,65,65,94,113
151-42,,,,66,?,57-69,NJ,2037,18,72,112,-43,10,66,66,83,113
151-44,,,,67,?,56-68,NJ,951,14,59,104,-32,34,67,67,94,113
151-45,,,,,,,,2,,,1,111,111,112,112,112,112
151-46,,68,69,68,69,62-67,NJ,1054,16,54,100,-25,40,68,68,95,113
151-48,,,,70,?,53-65,NJ,1046,16,59,106,-19,36,69,70,95,113
151-50,,,,71,?,52-64,NJ,648,16,52,104,-18,44,70,72,96,113
151-52,,,,72,?,51-63,NJ,764,2,55,104,-18,41,72,72,96,113
151-54,,,,73,?,50-62,NJ,627,9,55,102,-15,40,73,73,95,113
151-56,,,,73,?,50-62,NJ,742,7,58,113,-35,36,73,73,95,113
151-58,,,,74,?,49-61,NJ,515,,54,100,-13,42,74,71,96,113
151-59,,,,,,,,1,,,,111,111,111,111,111,111
151-60,,,,75,?,48-60,NJ,490,14,53,97,-10,44,75,62,97,113
151-62,,,,76,?,47-59,NJ,351,2,45,101,-17,53,76,76,98,113
151-64,,,,77,?,46-58,NJ,364,2,50,104,-21,46,77,77,96,113
151-66,,,,78,?,45-57,NJ,288,1,47,98,-13,50,77,77,97,113
151-68,,,,79,?,44-56,NJ,337,,52,99,-9,46,79,79,98,113
151-70,,,,80,?,43-55,NJ,380,,55,103,-14,44,80,80,99,113
151-72,,81,82,81,82,49-54,NJ,213,,50,98,-7,49,81,81,99,112
151-74,,,,83,?,40-52,NJ,152,,42,95,4,57,83,83,100,113
151-75,,,,,,,,1,,,,113,113,113,113,113,113
151-76,,,,84,?,39-51,NJ,167,,47,102,-3,53,84,84,101,113
151-78,,85,86,85,86,45-50,NJ,140,,49,98,0,51,85,70,100,113
151-80,,,,87,?,36-48,NJ,134,,43,97,-4,58,87,87,101,113
151-82,,,,87,?,36-48,NJ,88,1,40,94,8,63,87,88,103,113
151-84,,,,88,?,23-31,NJ,106,,54,98,-4,48,88,85,102,112
151-86,,,,89,92,27-30,NJ,97,,51,96,-5,50,89,89,101,113
151-88,,,,89,92,27-30,NJ,80,,50,94,4,52,90,90,102,112
151-89,,,,,,,,1,,,,111,111,111,111,111,111
151-90,,,,89,92,27-30,NJ,129,,60,100,2,42,91,91,103,113
151-92,,,,89,92,27-30,NJ,122,,59,95,4,44,92,92,103,113
151-94,,,,93,?,18-26,NJ,101,,63,95,8,40,93,93,103,113
151-96,,,,94,?,17-25,NJ,43,,48,94,10,54,94,94,102,112
151-98,,,,96,?,15-23,NJ,33,,40,93,16,63,96,95,103,113
152-01,,51,52,36,50,81-99,NJ,6561,29,77,106,-46,6,22,4,84,113
152-02,,,,97,98,21-22,NJ,33,,46,100,12,57,97,97,104,113
152-03,,51,52,36,50,81-99,NJ,6255,30,78,123,-28,4,24,41,82,113
152-04,,,,98,?,13-21,NJ,37,,37,88,19,66,98,98,103,112
152-05,,51,52,36,50,81-99,NJ,5962,22,76,106,-32,6,25,40,83,113
152-06,,,,100,?,11-19,NJ,37,,47,92,18,59,100,100,106,113
152-07,,51,52,36,50,81-99,NJ,6864,26,77,107,-28,5,32,37,82,113
152-08,,,,101,?,10-18,NJ,26,,23,84,21,79,101,101,103,111
152-09,,51,52,36,50,81-99,NJ,6412,27,78,106,-35,6,24,37,84,113
152-10,,51,52,36,50,81-99,NJ,6530,29,78,109,-29,5,24,38,83,113
152-11,,,,102,104,15-17,NJ,26,,24,97,11,81,102,102,105,113
152-12,,51,52,36,50,81-99,NJ,5566,25,75,105,-30,14,38,45,89,113
152-13,,,,104,105,14-15,NJ,12,,33,93,13,73,104,103,107,111
152-14,,51,52,36,50,81-99,NJ,5664,27,75,109,-31,14,38,45,89,113
152-15,,,,105,106,13-14,NJ,6,,13,46,66,94,105,105,107,112
152-16,,51,52,36,50,81-99,NJ,5454,20,76,107,-31,12,60,46,88,113
152-17,,,,106,108,11-13,NJ,10,,26,71,37,81,106,106,107,112
152-18,,51,52,36,50,81-99,NJ,5418,25,75,107,-31,11,55,44,87,113
152-19,,,,108,109,10-11,NJ,9,,14,58,53,96,108,108,110,113
152-20,,51,52,36,50,81-99,NJ,4944,,75,106,-35,11,38,27,87,113
152-21,,,,109,110,9-10,NJ,6,,22,72,41,88,109,109,111,113
152-22,,51,52,36,50,81-99,NJ,4415,22,70,104,-28,22,43,53,93,113
152-23,,,,110,111,8-9,NJ,8,,,1,110,110,110,110,110,111
152-24,,51,52,36,50,81-99,NJ,4340,23,71,107,-28,21,49,54,92,113
152-26,,51,52,51,52,79-84,NJ,4122,22,72,107,-31,17,43,54,90,113
152-27,,,,,,,,1,1,1,1,112,112,112,113,113,113
152-28,,53,55,53,55,76-82,NJ,3666,23,72,106,-34,18,42,57,90,113
152-30,,56,57,56,57,74-79,NJ,2708,,68,105,-34,24,47,41,92,113
152-32,,58,59,58,59,72-77,NJ,2429,,66,107,-27,26,51,42,93,113
152-34,,60,61,60,61,70-75,NJ,1883,21,64,103,-25,29,58,60,94,113
152-36,,61,62,62,?,61-73,NJ,2103,20,69,110,-41,22,60,63,92,113
152-38,,63,64,63,64,67-72,NJ,1428,,62,101,-25,31,62,47,93,113
152-40,,,,65,?,58-70,NJ,1246,18,61,105,-30,32,64,65,93,113
152-42,,,,66,?,57-69,NJ,1792,19,64,109,-35,26,65,66,90,113
