851-05,,,,,,,,1,,,,112,112,112,112,112,112
851-15,,,,,,,,1,1,1,1,111,111,111,112,112,112
851-17,,,,,,,,1,,,,111,111,111,111,111,111
851-20,,,,,,,,2,,,1,111,111,112,112,112,112
851-49,,,,,,,,2,,,,112,112,113,112,112,113
851-53,,,,,,,,1,1,1,1,111,111,111,112,112,112
851-59,,,,,,,,1,,,,112,112,112,112,112,112
851-64,,,,,,,,1,,,,112,112,112,112,112,112
851-71,,,,,,,,1,,,,111,111,111,111,111,111
851-86,,,,,,,,1,,,,112,112,112,112,112,112
851-89,,,,,,,,1,2,2,2,111,111,111,113,113,113
851-93,,,,,,,,1,1,1,1,111,111,111,112,112,112
851-97,,,,,,,,1,,,,112,112,112,112,112,112
851-99,,,,,,,,1,,,,113,113,113,113,113,113
852-05,,,,,,,,1,,,,111,111,111,111,111,111
852-06,,,,,,,,1,1,1,1,112,112,112,113,113,113
852-07,,,,,,,,1,,,,111,111,111,111,111,111
852-09,,,,,,,,1,,,,111,111,111,111,111,111
852-11,,,,,,,,2,,,,111,111,112,111,111,112
852-13,,,,,,,,1,,,,112,112,112,112,112,112
852-15,,,,,,,,1,,,,113,113,113,113,113,113
852-20,,,,,,,,1,,,,112,112,112,112,112,112
852-23,,,,,,,,1,,,,112,112,112,112,112,112
852-26,,,,,,,,1,,,,112,112,112,112,112,112
852-30,,,,,,,,2,2,28,54,59,85,111,113,113,113
852-39,,,,,,,,1,,,,112,112,112,112,112,112
852-40,,,,,,,,1,,,,111,111,111,111,111,111
852-51,,,,,,,,1,,,,112,112,112,112,112,112
852-67,,,,,,,,1,1,1,1,112,112,112,113,113,113
852-71,,,,,,,,1,,,,112,112,112,112,112,112
852-72,,,,,,,,1,1,1,1,111,111,111,112,112,112
852-80,,,,,,,,1,1,1,1,112,112,112,113,113,113
852-86,,,,,,,,1,1,1,1,111,111,111,112,112,112
852-89,,,,,,,,1,,,,111,111,111,111,111,111
852-98,,,,,,,,1,,,,112,112,112,112,112,112
853-12,,,,,,,,1,,,,113,113,113,113,113,113
853-15,,,,,,,,1,,,,112,112,112,112,112,112
853-18,,,,,,,,1,,,,111,111,111,111,111,111
853-31,,,,,,,,2,,,,111,111,111,111,111,111
853-34,,,,,,,,1,,,,112,112,112,112,112,112
853-39,,,,,,,,1,1,1,1,112,112,112,113,113,113
853-51,,,,,,,,1,,,,111,111,111,111,111,111
853-54,,,,,,,,1,,,,113,113,113,113,113,113
853-58,,,,,,,,2,,33,66,46,78,111,111,111,112
853-59,,,,,,,,1,,,,111,111,111,111,111,111
853-76,,,,,,,,1,,,,112,112,112,112,112,112
853-79,,,,,,,,1,,,,112,112,112,112,112,112
853-80,,,,,,,,1,,,,111,111,111,111,111,111
853-98,,,,,,,,1,,,,112,112,112,112,112,112
854-08,,,,,,,,1,,,,113,113,113,113,113,113
854-09,,,,,,,,1,,,,111,111,111,111,111,111
854-12,,,,,,,,1,,,,113,113,113,113,113,113
854-13,,,,,,,,1,1,1,1,111,111,111,112,112,112
854-16,,,,,,,,1,,,,113,113,113,113,113,113
854-17,,,,,,,,1,1,1,1,111,111,111,112,112,112
