251-01,,,,36,50,81-99,SC,6084,24,75,110,-27,7,26,38,82,113
251-02,,,,68,?,55-67,SC,862,8,54,104,-18,40,69,45,94,113
251-03,,,,36,50,81-99,SC,5557,25,74,108,-28,8,27,39,83,113
251-04,,,,69,?,54-66,SC,829,15,50,103,-14,43,70,70,94,113
251-05,,,,36,50,81-99,SC,5292,24,74,102,-34,10,26,41,84,113
251-06,,,,69,?,54-66,SC,747,17,49,104,-18,44,70,55,94,113
251-07,,,,36,50,81-99,SC,4940,24,73,105,-29,11,31,41,85,113
251-08,,,,70,?,53-65,SC,696,11,51,98,-16,43,71,73,94,113
251-09,,,,36,50,81-99,SC,6569,31,76,108,-27,6,29,38,82,113
251-10,,,,36,50,81-99,SC,5358,25,74,105,-32,9,31,38,83,113
251-11,,,,71,?,52-64,SC,568,10,45,115,-39,50,72,73,95,113
251-12,,,,36,50,81-99,SC,5442,21,73,105,-30,12,28,40,85,113
251-13,,,,71,?,52-64,SC,353,1,46,105,-15,49,77,60,95,113
251-14,,,,36,50,81-99,SC,5260,23,73,107,-30,11,34,42,85,113
251-15,,,,72,?,51-63,SC,1005,3,59,101,-19,33,73,73,92,113
251-16,,,,36,50,81-99,SC,5654,23,72,106,-31,12,29,40,85,113
251-17,,,,72,?,51-63,SC,752,9,55,107,-19,37,73,73,92,113
251-18,,,,36,50,81-99,SC,5632,20,73,111,-32,12,52,41,85,113
251-19,,,,72,?,51-63,SC,687,5,53,112,-33,40,73,73,94,113
251-20,,,,36,50,81-99,SC,5538,21,72,105,-28,15,35,44,88,113
251-21,,,,73,?,50-62,SC,472,9,45,97,-18,49,74,74,95,113
251-22,,,,36,50,81-99,SC,5483,19,71,106,-28,16,33,44,88,113
251-23,,,,73,?,50-62,SC,520,4,46,110,-35,49,74,74,95,113
251-24,,,,36,50,81-99,SC,5374,24,70,107,-29,15,33,42,86,113
251-25,,,,73,?,50-62,SC,590,8,50,101,-12,45,74,64,96,113
251-26,,,,36,50,81-99,SC,5207,24,71,106,-31,14,39,45,85,113
251-27,,,,74,?,49-61,SC,449,3,44,100,-17,52,75,76,96,113
251-28,,,,36,50,81-99,SC,5390,20,71,105,-27,18,33,45,89,113
251-29,,,,74,?,49-61,SC,402,6,48,96,-20,48,75,76,96,113
251-30,,,,36,50,81-99,SC,5289,19,72,106,-31,18,32,45,90,113
251-31,,,,75,?,48-60,SC,374,12,41,98,-16,56,76,51,97,113
251-32,,,,36,50,81-99,SC,4884,24,73,106,-32,15,55,42,89,113
251-33,,,,75,?,48-60,SC,293,4,39,94,-16,58,76,71,97,113
251-34,,,,36,50,81-99,SC,4749,24,72,104,-47,18,34,51,90,113
251-35,,,,76,?,47-59,SC,313,1,39,96,-7,57,77,77,97,113
251-36,,,,36,50,81-99,SC,4698,26,71,105,-30,18,38,47,90,113
251-37,,,,77,?,46-58,SC,294,3,37,96,-7,58,78,66,96,113
251-38,,,,36,50,81-99,SC,4673,21,70,107,-27,19,37,46,90,113
251-39,,,,77,?,46-58,SC,285,,36,93,-13,59,79,48,96,113
