651-01,,,,96,?,15-23,CO,67,,36,96,10,66,96,96,102,113
651-03,,,,97,?,14-22,CO,53,,42,92,10,62,97,97,104,113
651-05,,,,97,?,14-22,CO,44,,28,96,10,75,97,97,104,113
651-06,,,,,,,,1,,,,112,112,112,112,112,112
651-07,,,,98,?,13-21,CO,51,,23,92,14,80,98,97,103,112
651-08,,,,,,,,1,,,,112,112,112,112,112,112
651-09,,,,98,99,20-21,CO,38,,21,83,24,82,98,98,103,112
651-10,,,,99,?,12-20,CO,42,,38,103,7,66,99,99,104,113
651-12,,,,99,100,19-20,CO,44,,28,91,11,76,99,99,105,113
651-14,,,,100,?,11-19,CO,32,,26,91,15,77,100,100,103,113
651-16,,,,100,101,18-19,CO,34,,20,85,21,84,100,100,104,113
651-17,,,,,,,,1,,,,111,111,111,111,111,111
651-18,,,,101,?,10-18,CO,32,,37,93,16,68,101,101,106,113
651-19,,,,,,,,1,,,,112,112,112,112,112,112
651-20,,,,101,?,10-18,CO,48,,34,93,15,70,101,101,105,112
651-22,,,,102,?,9-17,CO,34,,22,88,23,83,102,102,105,112
651-24,,,,102,103,16-17,CO,33,,23,101,7,81,102,102,105,113
651-26,,,,103,?,8-16,CO,37,,16,78,28,89,103,102,105,113
651-28,,,,103,?,8-16,CO,34,,25,86,24,80,103,103,106,113
651-30,,,,103,104,15-16,CO,32,,9,85,27,96,104,103,105,113
651-32,,,,104,?,7-15,CO,25,,11,84,23,94,104,104,106,113
651-34,,,,104,105,14-15,CO,19,,6,66,44,99,105,104,106,111
651-36,,,,105,?,6-14,CO,20,,17,97,12,89,105,105,106,111
651-38,,,,105,106,13-14,CO,26,,23,81,26,83,105,105,107,112
651-40,,,,106,?,5-13,CO,20,,16,80,27,90,106,106,107,112
651-42,,,,106,107,12-13,CO,24,,4,83,30,102,106,106,107,113
651-44,,,,107,?,4-12,CO,24,,18,76,35,90,107,107,108,112
651-46,,,,107,108,11-12,CO,25,,9,76,34,98,107,107,108,112
651-47,,,,,,,,1,,,,111,111,111,111,111,111
651-48,,,,108,?,3-11,CO,23,,12,82,27,96,108,108,108,112
651-49,,,,,,,,1,,,,112,112,112,112,112,112
651-50,,,,108,?,3-11,CO,18,,4,27,82,105,108,108,109,113
651-51,,,,,,,,1,,,,113,113,113,113,113,113
651-52,,,,108,109,10-11,CO,16,1,6,76,35,103,108,109,110,112
651-54,,,,109,?,2-10,CO,20,,13,92,18,96,109,109,109,112
651-56,,,,109,110,9-10,CO,20,,3,54,58,106,109,109,110,112
651-57,,,,,,,,1,1,1,1,111,111,111,112,112,112
651-58,,,,110,?,1-9,CO,20,,16,88,24,93,110,108,110,112
651-60,,,,110,111,8-9,CO,17,,11,76,34,99,110,110,110,113
651-62,,,,111,?,1-8,CO,17,,3,65,46,107,111,111,111,112
651-67,,,,,,,,1,1,1,1,111,111,111,112,112,112
651-71,,,,,,,,1,,,,113,113,113,113,113,113
651-74,,,,,,,,1,1,1,1,112,112,112,113,113,113
651-77,,,,,,,,1,1,1,1,112,112,112,113,113,113
